dt,LandAverageTemperature,LandAverageTemperatureUncertainty,LandMaxTemperature,LandMaxTemperatureUncertainty,LandMinTemperature,LandMinTemperatureUncertainty,LandAndOceanAverageTemperature,LandAndOceanAverageTemperatureUncertainty
1871-01-01,1.447,0.793,7.962,1.379,-2.937,1.432,13.089,0.287
1871-02-01,1.736,0.94,8.782,1.589,-3.061,1.217,13.299,0.326
1871-03-01,4.685,0.649,11.047,1.101,-1.75,1.955,14.223,0.251
1871-04-01,8.34,0.461,13.97,1.33,1.89,1.279,15.233,0.206
1871-05-01,10.788,0.451,16.627,1.129,4.525,0.846,15.77,0.205
1871-06-01,13.08,0.392,19.127,1.227,7.47,1.175,16.458,0.188
1871-07-01,14.29,0.382,19.837,1.035,7.927,0.816,16.858,0.193
1871-08-01,13.932,0.449,19.812,0.656,7.898,0.873,16.653,0.193
1871-09-01,11.711,0.516,17.394,0.875,5.037,0.923,16.02,0.219
1871-10-01,9.096,0.412,14.697,0.802,2.891,0.797,15.061,0.206
1871-11-01,5.113,0.825,10.639,1.017,-0.317,1.024,13.972,0.285
1871-12-01,3.163,0.573,7.912,1.294,-3.677,1.043,13.435,0.225
1872-01-01,1.652,0.996,8.228,1.236,-3.228,1.225,13.041,0.325
1872-02-01,2.35,0.856,8.953,1.257,-3.26,1.364,13.376,0.301
1872-03-01,4.922,0.611,11.159,0.994,-2.156,1.016,14.107,0.239
1872-04-01,7.846,0.538,14.041,1.085,1.464,0.891,14.969,0.217
1872-05-01,11.198,0.503,17.369,1.059,5.046,1.095,15.927,0.21
1872-06-01,13.055,0.434,19.299,0.757,7.564,0.746,16.361,0.193
1872-07-01,14.285,0.478,19.705,1.105,7.884,1.045,16.843,0.205
1872-08-01,13.821,0.485,19.415,0.776,7.451,1.097,16.822,0.2
1872-09-01,11.958,0.368,17.718,0.7,5.938,0.887,16.173,0.178
1872-10-01,9.24,0.394,15.715,0.881,3.025,1.467,15.181,0.187
1872-11-01,5.372,0.493,11.293,0.994,-0.061,1.233,14.101,0.209
1872-12-01,2.627,0.913,8.526,1.078,-3.418,1.325,13.331,0.302
1873-01-01,2.013,0.706,8.285,1.171,-3.44,1.753,13.353,0.251
1873-02-01,3.195,0.749,8.591,1.132,-3.719,1.52,13.707,0.269
1873-03-01,4.704,0.696,11.105,0.823,-1.761,1.047,14.151,0.253
1873-04-01,7.462,0.616,13.983,1.262,1.069,1.145,14.879,0.239
1873-05-01,11.006,0.42,16.765,0.726,4.202,0.753,15.821,0.204
1873-06-01,13.405,0.495,19.006,1.049,6.783,0.568,16.429,0.215
1873-07-01,14.287,0.407,19.974,0.769,8.024,0.755,16.805,0.194
1873-08-01,13.755,0.438,19.241,0.728,7.447,0.725,16.726,0.191
1873-09-01,11.487,0.436,16.979,0.874,5.298,0.741,15.965,0.189
1873-10-01,9.234,0.432,14.431,0.921,2.386,0.941,15.13,0.203
1873-11-01,5.819,0.545,10.914,0.838,-0.812,1.05,14.094,0.215
1873-12-01,3.846,0.666,8.848,1.157,-2.628,1.445,13.531,0.242
1874-01-01,2.685,0.825,7.383,1.233,-3.764,1.139,13.392,0.283
1874-02-01,3.069,0.724,7.962,1.324,-3.23,1.615,13.458,0.258
1874-03-01,4.221,0.592,8.948,1.244,-1.942,1.1,13.807,0.225
1874-04-01,8.231,0.39,13.237,1.12,1.005,0.793,14.91,0.186
1874-05-01,11.306,0.411,16.969,0.788,4.667,1.011,15.75,0.207
1874-06-01,13.306,0.467,19.062,0.891,6.857,0.796,16.211,0.205
1874-07-01,14.122,0.419,19.82,1.046,7.488,0.859,16.745,0.197
1874-08-01,13.815,0.382,19.618,0.739,7.229,0.689,16.645,0.182
1874-09-01,12.111,0.366,17.704,0.626,5.632,0.759,16.122,0.178
1874-10-01,9.12,0.475,15.841,0.889,3.025,1.047,15.005,0.195
1874-11-01,5.809,0.626,10.563,1.177,-0.549,1.004,14.013,0.23
1874-12-01,3.407,0.538,9.495,1.03,-1.678,1.431,13.426,0.214
1875-01-01,1.533,0.672,6.679,1.047,-4.717,1.524,13.027,0.246
1875-02-01,2.259,0.718,7.522,0.813,-4.365,1.173,13.35,0.257
1875-03-01,4.256,0.461,10.673,0.951,-2.207,1.097,13.974,0.2
1875-04-01,7.636,0.38,13.759,1.157,1.174,0.937,14.923,0.186
1875-05-01,10.746,0.376,17.509,1.105,4.163,0.664,15.792,0.183
1875-06-01,13.157,0.418,19.603,0.965,6.497,0.583,16.358,0.185
1875-07-01,14.144,0.397,20.534,0.727,7.873,0.614,16.683,0.175
1875-08-01,13.401,0.433,20.053,0.76,7.327,0.718,16.638,0.187
1875-09-01,11.319,0.394,17.713,0.726,5.173,0.741,16.059,0.186
1875-10-01,8.585,0.39,14.754,0.734,2.205,0.935,15.125,0.185
1875-11-01,4.614,0.366,10.56,0.821,-1.351,1.031,13.905,0.182
1875-12-01,2.665,0.413,8.742,1.13,-2.402,1.339,13.229,0.193
1876-01-01,1.856,0.503,7.327,1.027,-3.325,0.883,13.1,0.209
1876-02-01,2.617,0.505,8.895,1.215,-3.095,0.896,13.496,0.208
1876-03-01,4.748,0.515,10.247,0.823,-1.711,0.969,14.047,0.21
1876-04-01,8.199,0.412,14.188,0.824,1.814,0.805,14.95,0.193
1876-05-01,10.69,0.513,16.783,0.745,4.728,0.684,15.57,0.204
1876-06-01,13.131,0.28,18.888,0.769,6.77,0.977,16.29,0.154
1876-07-01,14.319,0.369,19.855,0.715,7.891,0.861,16.848,0.173
1876-08-01,13.481,0.407,19.665,0.63,7.55,0.709,16.579,0.186
1876-09-01,11.687,0.377,17.667,0.662,5.687,0.848,15.89,0.2
1876-10-01,8.946,0.327,14.4,0.677,2.766,1.037,15.047,0.175
1876-11-01,5.093,0.414,10.498,0.751,-0.653,0.796,13.903,0.187
1876-12-01,2.194,0.58,8.805,0.822,-2.806,0.985,13.193,0.221
1877-01-01,2.286,0.708,8.079,1.095,-3.162,1.132,13.306,0.249
1877-02-01,2.928,0.584,9.755,1.222,-2.357,0.872,13.732,0.232
1877-03-01,5.297,0.487,10.782,0.744,-1.478,0.893,14.459,0.204
1877-04-01,8.039,0.429,13.827,0.767,2.032,0.845,15.126,0.197
1877-05-01,11.056,0.4,16.802,0.598,5.022,0.696,15.854,0.185
1877-06-01,13.384,0.464,19.257,0.604,6.875,0.907,16.594,0.2
1877-07-01,14.642,0.402,20.733,0.62,8.18,0.729,17.004,0.183
1877-08-01,14.151,0.383,20.643,0.876,7.786,0.894,17.076,0.174
1877-09-01,12.075,0.418,17.931,0.53,5.967,0.692,16.437,0.187
1877-10-01,9.273,0.273,14.324,0.758,2.704,0.89,15.536,0.165
1877-11-01,6.348,0.479,11.54,1.008,0.789,0.757,14.564,0.195
1877-12-01,2.996,0.444,9.491,1.212,-0.575,0.845,13.704,0.19
1878-01-01,2.017,0.461,8.278,1.004,-3.083,1.011,13.538,0.191
1878-02-01,3.728,0.563,9.483,1.226,-1.714,1.063,14.177,0.214
1878-03-01,6.608,0.477,12.343,0.803,0.361,0.991,14.882,0.203
1878-04-01,8.899,0.431,15.041,0.717,2.963,0.946,15.573,0.185
1878-05-01,11.017,0.419,16.946,0.807,5.09,0.797,16.016,0.188
1878-06-01,13.796,0.38,19.356,0.398,7.461,0.829,16.711,0.185
1878-07-01,14.742,0.378,20.299,0.481,8.582,0.706,16.999,0.183
1878-08-01,14.094,0.465,20.308,0.573,8.074,0.516,16.905,0.184
1878-09-01,12.093,0.375,17.827,0.674,6.1,0.831,16.267,0.177
1878-10-01,9.173,0.306,15.255,0.605,3.506,0.893,15.307,0.165
1878-11-01,6.446,0.429,12.502,0.823,0.686,0.832,14.388,0.184
1878-12-01,3.344,0.415,9.268,0.988,-2.246,1.086,13.526,0.176
1879-01-01,2.303,0.658,8.558,0.886,-3.311,0.978,13.349,0.23
1879-02-01,2.737,0.672,8.69,0.862,-3.081,0.873,13.63,0.233
1879-03-01,4.924,0.461,10.686,0.891,-1.389,0.789,14.34,0.183
1879-04-01,7.768,0.458,14.201,0.835,1.986,0.736,14.987,0.182
1879-05-01,10.803,0.388,16.752,0.581,4.536,0.695,15.807,0.164
1879-06-01,13.23,0.459,19.022,0.703,7.018,0.527,16.501,0.176
1879-07-01,14.238,0.379,19.637,0.607,7.64,0.491,16.746,0.164
1879-08-01,13.245,0.426,19.125,0.473,7.29,0.587,16.635,0.171
1879-09-01,11.449,0.357,17.652,0.849,5.542,0.51,16.007,0.163
1879-10-01,9.229,0.331,14.744,0.746,2.747,0.761,15.25,0.156
1879-11-01,5.526,0.376,11.549,0.815,-0.5,0.691,14.203,0.168
1879-12-01,2.538,0.596,8.173,0.866,-3.531,1.151,13.318,0.211
1880-01-01,1.755,0.572,7.883,0.757,-3.37,0.864,13.129,0.204
1880-02-01,2.052,0.491,7.957,0.909,-3.767,0.796,13.407,0.187
1880-03-01,4.63,0.468,10.655,0.912,-1.814,0.796,14.273,0.186
1880-04-01,7.559,0.456,14.082,0.711,1.298,0.623,15.008,0.194
1880-05-01,11.096,0.389,16.917,0.749,4.877,0.772,15.85,0.172
1880-06-01,13.327,0.436,19.29,0.558,6.597,0.631,16.4,0.175
1880-07-01,14.141,0.396,20.037,0.554,7.852,0.691,16.687,0.167
1880-08-01,13.807,0.384,19.502,0.793,7.555,0.698,16.695,0.163
1880-09-01,11.386,0.289,17.558,0.59,5.84,0.636,15.918,0.148
1880-10-01,8.673,0.296,14.567,0.492,2.896,0.73,15.024,0.149
1880-11-01,5.893,0.386,10.826,0.596,-0.654,0.797,14.233,0.162
1880-12-01,3.106,0.416,7.687,0.733,-2.657,0.82,13.48,0.168
1881-01-01,2.461,0.634,7.344,0.724,-3.687,0.981,13.396,0.221
1881-02-01,2.626,0.595,8.594,0.692,-2.813,0.77,13.625,0.21
1881-03-01,5.01,0.52,10.926,0.613,-1.131,0.493,14.355,0.193
1881-04-01,8.323,0.362,14.297,0.787,2.291,0.879,15.267,0.157
1881-05-01,11.165,0.406,17.283,0.842,5.263,0.644,15.999,0.172
1881-06-01,12.745,0.357,18.946,0.717,6.801,0.534,16.329,0.164
1881-07-01,14.203,0.344,20.295,0.676,8.334,0.504,16.783,0.155
1881-08-01,13.71,0.376,19.879,0.559,8.047,0.788,16.665,0.154
1881-09-01,11.689,0.287,17.43,0.666,5.876,0.535,15.982,0.141
1881-10-01,8.851,0.315,14.232,0.518,2.936,0.449,15.115,0.148
1881-11-01,5.272,0.397,10.781,0.674,-0.203,0.552,14.019,0.157
1881-12-01,3.196,0.439,8.598,1.063,-2.597,0.537,13.511,0.169
1882-01-01,2.99,0.486,8.392,0.69,-3.022,0.914,13.632,0.18
1882-02-01,3.231,0.427,8.754,0.826,-3.067,1.06,13.843,0.172
1882-03-01,5.04,0.498,10.794,0.634,-1.411,0.718,14.339,0.185
1882-04-01,7.691,0.369,13.713,0.516,1.752,0.664,15.031,0.156
1882-05-01,10.888,0.337,16.83,0.577,4.887,0.546,15.816,0.151
1882-06-01,12.805,0.298,18.941,0.613,7.032,0.534,16.356,0.142
1882-07-01,13.747,0.334,19.773,0.639,7.965,0.488,16.634,0.148
1882-08-01,13.703,0.433,19.832,0.748,7.836,0.443,16.678,0.171
1882-09-01,11.736,0.287,17.769,0.493,5.891,0.458,16.108,0.141
1882-10-01,8.445,0.327,14.596,0.659,2.784,0.461,15.022,0.151
1882-11-01,5.066,0.359,11.404,0.892,-0.581,0.841,14.033,0.157
1882-12-01,2.205,0.404,8.573,0.744,-2.795,0.581,13.187,0.167
1883-01-01,1.46,0.53,7.064,0.622,-4.519,0.605,13.106,0.19
1883-02-01,1.856,0.498,7.54,0.934,-4.303,0.65,13.358,0.18
1883-03-01,4.929,0.421,10.123,0.625,-2.094,0.726,14.236,0.162
1883-04-01,7.691,0.424,13.967,0.528,1.468,0.7,14.916,0.166
1883-05-01,10.832,0.354,16.898,0.512,4.793,0.459,15.825,0.153
1883-06-01,13.302,0.294,20.049,0.703,7.303,0.398,16.512,0.139
1883-07-01,14.011,0.355,20.457,0.625,7.719,0.453,16.664,0.146
1883-08-01,13.224,0.34,19.591,0.65,7.464,0.365,16.538,0.136
1883-09-01,11.343,0.327,17.663,0.583,5.299,0.349,15.956,0.137
1883-10-01,8.909,0.249,14.621,0.569,2.671,0.601,15.054,0.123
1883-11-01,4.905,0.293,10.987,0.559,-0.436,0.647,13.943,0.135
1883-12-01,3.261,0.363,8.587,0.629,-2.803,0.76,13.451,0.147
1884-01-01,2.12,0.472,7.567,0.598,-4.118,0.947,13.279,0.17
1884-02-01,2.474,0.486,8.292,0.676,-3.841,0.497,13.6,0.176
1884-03-01,3.892,0.476,10.552,0.595,-2.444,0.75,13.914,0.174
1884-04-01,7.186,0.311,13.58,0.558,0.699,0.646,14.744,0.136
1884-05-01,10.198,0.353,16.466,0.56,3.989,0.453,15.558,0.14
1884-06-01,12.527,0.382,18.787,0.643,6.362,0.517,16.185,0.144
1884-07-01,13.622,0.375,19.569,0.544,7.468,0.494,16.434,0.143
1884-08-01,13.257,0.41,19.318,0.554,7.251,0.457,16.408,0.151
1884-09-01,11.235,0.392,17.365,0.849,5.365,0.345,15.826,0.148
1884-10-01,8.581,0.307,14.304,0.463,2.587,0.577,14.954,0.13
1884-11-01,5.164,0.383,10.464,0.563,-0.991,0.486,13.827,0.144
1884-12-01,3.028,0.408,8.041,0.671,-2.554,0.661,13.27,0.152
1885-01-01,1.003,0.664,6.421,0.664,-4.621,0.698,12.889,0.215
1885-02-01,2.243,0.578,8.247,0.695,-3.438,0.728,13.327,0.192
1885-03-01,4.622,0.381,10.56,0.6,-2.023,0.603,14.021,0.146
1885-04-01,7.336,0.398,13.483,0.745,1.352,0.428,14.747,0.148
1885-05-01,10.567,0.391,16.704,0.657,4.202,0.739,15.565,0.145
1885-06-01,12.716,0.304,18.762,0.513,6.492,0.343,16.105,0.129
1885-07-01,13.972,0.369,20.205,0.496,7.628,0.554,16.601,0.142
1885-08-01,13.351,0.445,19.889,0.668,7.087,0.607,16.438,0.157
1885-09-01,11.435,0.365,17.317,0.534,5.28,0.451,15.907,0.14
1885-10-01,8.722,0.347,14.707,0.494,2.547,0.426,15.054,0.137
1885-11-01,5.425,0.377,11.488,0.436,-0.476,0.726,14.057,0.143
1885-12-01,3.644,0.481,9.156,0.554,-1.539,0.719,13.542,0.165
1886-01-01,1.436,0.545,7.023,0.587,-3.755,0.552,13.001,0.181
1886-02-01,1.793,0.453,8.015,0.79,-3.884,0.782,13.176,0.16
1886-03-01,4.262,0.346,10.568,0.539,-2.188,0.666,13.888,0.135
1886-04-01,7.909,0.299,14.085,0.592,1.367,0.461,14.841,0.129
1886-05-01,10.784,0.468,17.196,0.8,4.422,0.496,15.837,0.165
1886-06-01,12.789,0.318,19.145,0.665,6.56,0.627,16.197,0.127
1886-07-01,14.226,0.354,20.004,0.72,8.055,0.543,16.622,0.138
1886-08-01,13.323,0.369,19.344,0.71,7.449,0.595,16.458,0.137
1886-09-01,11.6,0.323,17.419,0.604,5.62,0.313,15.831,0.131
1886-10-01,8.604,0.355,14.735,0.608,2.58,0.457,14.979,0.139
1886-11-01,5.226,0.353,11.208,0.483,-0.71,0.543,13.877,0.141
1886-12-01,3.502,0.449,8.616,0.717,-1.862,0.842,13.316,0.161
1887-01-01,0.824,0.568,6.864,0.545,-4.678,1.038,12.62,0.187
1887-02-01,2.054,0.464,8.143,0.554,-4.047,0.536,13.096,0.166
1887-03-01,4.552,0.433,10.828,0.514,-1.901,0.45,13.946,0.16
1887-04-01,7.789,0.333,13.936,0.406,1.524,0.471,14.941,0.141
1887-05-01,10.84,0.396,17.337,0.501,4.569,0.449,15.651,0.153
1887-06-01,12.89,0.327,18.431,0.629,6.514,0.58,16.214,0.136
1887-07-01,14.021,0.343,19.899,0.666,8.199,0.436,16.63,0.137
1887-08-01,13.097,0.358,19.177,0.593,7.391,0.696,16.372,0.138
1887-09-01,11.707,0.378,17.392,0.492,5.701,0.496,15.916,0.147
1887-10-01,8.738,0.263,14.716,0.69,2.531,0.413,14.983,0.126
1887-11-01,5.592,0.382,11.66,0.575,-0.264,0.446,14.037,0.145
1887-12-01,2.875,0.46,8.298,0.901,-2.656,0.656,13.386,0.166
1888-01-01,1.708,0.375,6.686,0.579,-4.299,0.531,13.132,0.148
1888-02-01,2.039,0.456,7.898,0.701,-3.555,0.942,13.32,0.165
1888-03-01,4.3,0.401,10.491,0.504,-2.039,0.569,13.972,0.152
1888-04-01,7.845,0.429,13.884,0.837,1.66,0.738,14.938,0.157
1888-05-01,10.62,0.389,16.329,0.543,4.187,0.598,15.73,0.152
1888-06-01,12.921,0.395,18.897,0.738,6.476,0.482,16.36,0.153
1888-07-01,14.242,0.321,20.063,0.746,7.77,0.403,16.686,0.135
1888-08-01,13.511,0.436,19.36,0.716,7.288,0.476,16.611,0.158
1888-09-01,11.685,0.344,17.808,0.375,5.469,0.561,15.995,0.142
1888-10-01,9.201,0.286,14.783,0.391,2.951,0.493,15.318,0.131
1888-11-01,5.792,0.361,11.384,0.377,0.052,0.42,14.259,0.144
1888-12-01,3.222,0.396,9.327,0.557,-2.511,0.512,13.608,0.154
1889-01-01,1.762,0.458,7.377,0.729,-4.053,0.984,13.417,0.168
1889-02-01,3.409,0.399,8.814,0.612,-2.899,0.526,13.954,0.156
1889-03-01,5.299,0.419,11.628,0.611,-0.808,0.452,14.446,0.165
1889-04-01,8.589,0.332,14.392,0.519,2.502,0.51,15.305,0.146
1889-05-01,11.242,0.372,17.19,0.505,5.032,0.524,15.915,0.153
1889-06-01,13.288,0.275,19.314,0.586,7.196,0.399,16.498,0.132
1889-07-01,14.225,0.327,20.315,0.494,8.311,0.347,16.796,0.144
1889-08-01,13.504,0.383,19.732,0.535,7.615,0.452,16.604,0.153
1889-09-01,11.547,0.339,17.455,0.416,5.635,0.559,15.913,0.146
1889-10-01,8.865,0.282,14.902,0.594,2.608,0.84,15.116,0.139
1889-11-01,4.999,0.44,11.146,0.522,-0.567,0.42,13.996,0.169
1889-12-01,3.099,0.412,9.264,0.438,-2.395,0.596,13.401,0.158
1890-01-01,1.836,0.401,7.647,0.458,-4.24,0.56,13.068,0.157
1890-02-01,2.516,0.373,8.668,0.564,-3.764,0.461,13.394,0.157
1890-03-01,4.21,0.377,10.474,0.404,-2.171,0.573,13.891,0.158
1890-04-01,7.739,0.357,13.672,0.64,1.641,0.408,14.875,0.153
1890-05-01,10.464,0.373,16.865,0.595,3.943,0.403,15.624,0.156
1890-06-01,12.872,0.352,18.703,0.627,6.707,0.572,16.25,0.147
1890-07-01,14.034,0.354,19.718,0.908,7.857,0.687,16.528,0.153
1890-08-01,13.266,0.352,19.325,0.67,7.147,0.407,16.427,0.148
1890-09-01,11.546,0.324,17.266,0.522,5.494,0.398,15.842,0.145
1890-10-01,9.178,0.238,14.747,0.415,3.367,0.542,15.02,0.135
1890-11-01,5.03,0.273,11.451,0.666,-1.043,0.562,13.803,0.138
1890-12-01,2.969,0.342,8.611,0.512,-2.729,0.526,13.367,0.149
1891-01-01,1.678,0.351,7.589,0.622,-4.011,0.492,13.037,0.155
1891-02-01,1.88,0.398,8.122,0.569,-4.465,0.507,13.298,0.165
1891-03-01,4.755,0.331,10.629,0.44,-1.449,0.593,14.191,0.153
1891-04-01,7.618,0.284,13.979,0.382,1.182,0.424,14.918,0.147
1891-05-01,10.785,0.388,16.645,0.453,4.317,0.385,15.844,0.162
1891-06-01,12.888,0.253,18.588,0.48,6.635,0.413,16.297,0.137
1891-07-01,13.93,0.338,19.849,0.393,7.818,0.445,16.62,0.155
1891-08-01,13.496,0.365,19.472,0.584,7.29,0.454,16.549,0.162
1891-09-01,11.763,0.264,17.649,0.614,5.704,0.342,16.07,0.14
1891-10-01,8.722,0.281,15.042,0.324,2.764,0.383,15.023,0.147
1891-11-01,5.115,0.353,11.033,0.349,-0.781,0.324,13.92,0.151
1891-12-01,3.602,0.418,9.803,0.429,-2.138,0.531,13.559,0.169
1892-01-01,2.018,0.399,7.683,0.462,-3.93,0.465,13.264,0.162
1892-02-01,2.805,0.326,9.078,0.667,-3.253,0.464,13.667,0.146
1892-03-01,4.362,0.39,10.752,0.599,-1.931,0.432,13.979,0.158
1892-04-01,7.562,0.301,13.802,0.415,1.205,0.427,14.804,0.149
1892-05-01,10.622,0.36,16.578,0.413,4.426,0.413,15.655,0.158
1892-06-01,13.263,0.279,19.003,0.463,6.86,0.322,16.303,0.149
1892-07-01,13.89,0.328,19.82,0.529,7.917,0.364,16.476,0.157
1892-08-01,13.42,0.353,19.264,0.477,7.448,0.389,16.39,0.155
1892-09-01,11.764,0.26,17.858,0.397,5.552,0.326,15.998,0.145
1892-10-01,9.29,0.268,15.08,0.388,3.347,0.388,15.126,0.147
1892-11-01,4.859,0.331,10.432,0.728,-1.014,0.469,13.732,0.156
1892-12-01,2.935,0.471,8.297,0.59,-2.847,0.452,13.196,0.19
1893-01-01,0.5,0.488,5.9,0.799,-5.345,0.48,12.702,0.186
1893-02-01,1.654,0.365,7.616,0.543,-4.558,0.497,13.23,0.161
1893-03-01,4.979,0.4,11.066,0.62,-1.252,0.368,14.111,0.163
1893-04-01,7.994,0.294,13.697,0.646,1.582,0.379,14.871,0.147
1893-05-01,10.747,0.365,16.812,0.478,4.489,0.377,15.662,0.155
1893-06-01,13.051,0.287,18.981,0.343,6.781,0.364,16.382,0.144
1893-07-01,14.318,0.339,20.005,0.426,8.102,0.387,16.788,0.155
1893-08-01,13.454,0.367,19.448,0.348,7.322,0.336,16.65,0.153
1893-09-01,11.767,0.295,17.799,0.308,5.599,0.26,15.932,0.139
1893-10-01,9.16,0.263,15.185,0.325,3.099,0.372,15.152,0.139
1893-11-01,5.902,0.281,11.701,0.326,-0.143,0.272,14.079,0.144
1893-12-01,3.155,0.399,9.03,0.429,-2.79,0.321,13.388,0.165
1894-01-01,1.691,0.372,7.41,0.567,-4.039,0.422,13.039,0.159
